image_name;mag;MERR;rotate_grau;x_star;y_star
pg1530-001.fit;11.673572314953343;0.008124862313845087;0;64.0;110.0
pg1530-002.fit;11.661958341333193;0.008042115441676148;180;200.4;186.4
pg1530-003.fit;11.668886918766725;0.008088991581254212;-180;91.4;137.4
pg1530-004.fit;11.66968840415771;0.0080944881689274;-180;92.5;87.0
pg1530-005.fit;11.668750582360074;0.008090347734333305;-180;93.2;87.38
pg1530-006.fit;11.67167657594579;0.00810936175150752;-180;94.0;87.5
pg1530-007.fit;11.67997195693508;0.008167212240346278;-180;95.0;88.5
pg1530-008.fit;11.683971164694782;0.008191555472893611;-180;95.7;88.3
pg1530-009.fit;11.686549051011665;0.008208490733261365;-180;97.0;89.5
pg1530-010.fit;11.692380653185673;0.008249299703853165;-180;97.8;90.1
pg1530-011.fit;11.606232297708036;0.007675323012527111;-180;98.5;95.05
pg1530-012.fit;11.597220686280796;0.007615450338154643;-180;98.6;95.1
pg1530-013.fit;11.592539641831204;0.00758341262585316;-180;98.6;95.0
pg1530-014.fit;11.591761077622998;0.007580508342095233;-180;98.4;93.8
pg1530-015.fit;11.599800645979364;0.007633873455416507;180;98.3;94.0
pg1530-016.fit;11.596630729666778;0.0076138818787525216;0;72.5;167.0
pg1530-017.fit;11.589252905531014;0.007565242284063823;0;71.5;166.0
pg1530-018.fit;11.593570452279993;0.007593694043399814;0;72.0;165.0
pg1530-019.fit;11.589876524015324;0.00756936631240123;0;72.0;164.2
pg1530-020.fit;11.589357470464648;0.007565328819860339;0;72.6;164.2
